strain	date	country	doi	pubmed
DQ256376	1980-XX-XX	India		
HM147823	1988-XX-XX	Madagascar		23136360
MH939154	2014-XX-XX	Romania		
MH939153	2014-XX-XX	Romania		
KC601756	2011-2-XX	India		23682140
HM147822	1958-XX-XX	South Africa		23136360
KF367469	2013-3-30	British Virgin Islands	10.1007/s10393-014-0910-6	24504904
KJ958922	2011-XX-XX	Turkey	10.3201/eid2102.141135	25625703
JN393308	2008-4-15	South Africa		
KP780838	2009-9-16	Austria	10.1016/j.vetmic.2015.12.012	26790946
KP780839	2011-3-14	Austria	10.1016/j.vetmic.2015.12.012	26790946
KP780837	2008-8-29	Austria	10.1016/j.vetmic.2015.12.012	26790946
KP780840	2014-8-21	Austria	10.1016/j.vetmic.2015.12.012	26790946
KM659876	2014-XX-XX	Austria	10.1016/j.jcv.2015.01.003	25728073
KF234080	2009-XX-XX	Italy		24058590
GU011992	2009-XX-XX	Italy		19660244
GQ379160	2006-2-XX	Argentina		
GQ379161	2006-2-XX	Argentina		
MG004531	2016-5-11	USA		
MG004532	2015-8-05	USA		
MG004540	2015-5-12	USA		
MG004534	2016-6-28	USA		
MG004536	2016-8-25	USA		
MG004530	2016-10-20	USA		
MG004528	2015-6-09	USA		
MG004541	2017-4-26	USA		
MN481592	2012-8-02	Greece	10.1016/j.ympev.2019.106617	31521822
MN481595	2010-9-30	Greece	10.1016/j.ympev.2019.106617	31521822
MN481591	2018-8-23	Greece	10.1016/j.ympev.2019.106617	31521822
MN481593	2012-8-22	Greece	10.1016/j.ympev.2019.106617	31521822
MN481594	2012-9-05	Greece	10.1016/j.ympev.2019.106617	31521822
MN481597	2012-8-27	Greece	10.1016/j.ympev.2019.106617	31521822
MN481590	2018-7-17	Greece	10.1016/j.ympev.2019.106617	31521822
MN481589	2018-7-17	Greece	10.1016/j.ympev.2019.106617	31521822
MN481596	2011-7-06	Greece	10.1016/j.ympev.2019.106617	31521822
JX442279	2011-XX-XX	China	10.3201/eid2008.131433	25062043
MN480794	2018-9-XX	Greece	10.1016/j.ympev.2019.106617	31521822
MN480792	2018-8-XX	Greece	10.1016/j.ympev.2019.106617	31521822
MN480795	2018-8-XX	Greece	10.1016/j.ympev.2019.106617	31521822
MN480793	2018-8-XX	Greece	10.1016/j.ympev.2019.106617	31521822
JX123030	2011-3-07	Australia		23345269
JX123031	2011-3-15	Australia		23345269
DQ176636	1978-XX-XX	Madagascar	10.1128/JVI.00768-06	16973548
HQ537483	2010-XX-XX	Greece		21529413
HM147824	1958-XX-XX	Democratic Republic of the Congo		23136360
MT341472	2018-8-XX	Bulgaria		32305885
KU588135	2015-XX-XX	United Arab Emirates	10.1038/emi.2016.53	27273223
KT163243	2015-1-01	India	10.1016/j.jviromet.2015.09.008	26388421
LC318700	2016-05-16	Zambia		
MN619801	2018-XX-XX	Russia		
MN619802	2018-XX-XX	Russia		
MN619803	2018-XX-XX	Russia		
MH643887	2018-4-26	Brazil		30672980
KC407667	2007-XX-XX	Spain		
MH021189	2017-10-XX	Belgium		
JQ928175	2011-9-XX	Italy	10.1111/1469-0691.12001	23004685
JQ928174	2011-9-XX	Italy	10.1111/1469-0691.12001	23004685
MT341471	2019-7-XX	Greece		
MT341470	2019-7-XX	Greece		
EF429200	1958-XX-XX	South Africa	10.3201/eid1401.070457	18258114
KT359349	2014-XX-XX	Hungary	10.1007/s00705-016-2844-5	27038827
KC496015	2010-XX-XX	Hungary		
MH244513	2013-XX-XX	Slovakia		
KT207791	2014-7-15	Italy	10.1186/s13071-015-1031-y	26265490
KT207792	2014-8-18	Italy	10.1186/s13071-015-1031-y	26265490
JF719069	2010-8-XX	Spain	10.1099/vir.0.033829-0	21775579
JF707789 	2008-XX-XX	Spain		21775579
FJ766331 	2008-XX-XX	Spain		21775579
FJ766332 	2008-XX-XX	Spain		21775579
KF179640	2008-XX-XX	Austria		24084339
MH986056	2018-XX-XX	Germany	10.1016/j.antiviral.2018.12.005	30550796
JF719068	2009-10-XX	Italy	10.1099/vir.0.033829-0	21775579
MH986055	2018-XX-XX	Germany	10.1016/j.antiviral.2018.12.005	30550796
JF719065	2008-10-XX	Italy	10.1099/vir.0.033829-0	21775579
JF719066	2008-9-XX	Italy	10.1099/vir.0.033829-0	21775579
JF719067	2009-11-XX	Italy	10.1099/vir.0.033829-0	21775579
KC407673	2012-XX-XX	Serbia		
JN858070	2011-9-XX	Italy		22085600
MN794939	2019-XX-XX	Germany		32326472
MN794937	2019-XX-XX	Germany		32326472
MN794938	2019-XX-XX	Germany		32326472
KC496016	2010-XX-XX	Serbia		
MH244511	2013-XX-XX	Slovakia		
MH244510	2014-XX-XX	Slovakia		
MH244512	2013-XX-XX	Slovakia		
KM203860	2013-8-08	Czech Republic		
KM203861	2013-8-08	Czech Republic		
KM203862	2013-8-08	Czech Republic		
KM203863	2013-8-08	Czech Republic		
KP109692	2014-XX-XX	Austria		25961567
KP109691	2014-XX-XX	Austria		25961567
KP789953	2014-XX-XX	Italy		
KP789959	2014-XX-XX	Italy		
KP789957	2014-XX-XX	Italy		
KP789958	2014-XX-XX	Italy		
KP789954	2014-XX-XX	Italy		
MN794935	2019-XX-XX	Germany		32326472
KF588365	2013-8-XX	Italy		24084339
KF647249	2013-8-XX	Italy		24084339
KF647250	2013-8-XX	Italy		24084339
KF179639	2012-9-XX	Greece		24084339
JX556213	2012-8-03	Italy		
KF647251	2013-8-XX	Italy		24084339
KF647253	2013-8-XX	Italy		24084339
KF647248	2013-8-XX	Italy		24084339
KF647252	2013-8-XX	Italy		24084339
KC954092	2012-9-XX	Italy	10.3390/v5112825	24284876
KP789956	2014-XX-XX	Italy		
KP789960	2013-XX-XX	Italy		
KP789955	2014-XX-XX	Italy		
KU206781	2015-8-27	Bulgaria	10.3201/eid2212.151968	27392134
KJ883346	2013-XX-XX	Greece		
KJ883349	2013-XX-XX	Greece		
KJ883343	2013-XX-XX	Greece		
KJ883345	2013-XX-XX	Greece		
KJ883348	2013-XX-XX	Greece		
KJ883344	2013-XX-XX	Greece		
MH924836	2018-8-22	Germany	10.1016/j.antiviral.2018.12.005	30550796
EF429198	2001-XX-XX	South Africa	10.3201/eid1401.070457	18258114
EF429199	2000-XX-XX	South Africa	10.3201/eid1401.070457	18258114
EF429197	1989-XX-XX	South Africa	10.3201/eid1401.070457	18258114
MF984344	2015-XX-XX	Austria	10.1038/s41426-018-0021-5	29535293
MF984345	2015-XX-XX	Austria	10.1038/s41426-018-0021-5	29535293
FJ159129	2006-XX-XX	Russia		
FJ159130	2005-XX-XX	Russia		
FJ159131	2005-XX-XX	Russia		
MF984342	2015-XX-XX	Austria	10.1038/s41426-018-0021-5	29535293
MF984343	2015-XX-XX	Austria	10.1038/s41426-018-0021-5	29535293
MF984349	2016-XX-XX	Austria	10.1038/s41426-018-0021-5	29535293
MF984350	2016-XX-XX	Austria	10.1038/s41426-018-0021-5	29535293
MF797870	2016-7-XX	Cyprus		
MF984341	2015-XX-XX	Austria	10.1038/s41426-018-0021-5	29535293
MN149538	2006-5-XX	Russia		
HM051416	1953-XX-XX	Israel		
FJ483548	2008-XX-XX	Italy		
FJ483549	2008-XX-XX	Italy		
JX041632	1955-XX-XX	India		
JX041629	1967-XX-XX	Azerbaijan		
JX041634	1999-XX-XX	Russia		
JX041628	1970-XX-XX	Azerbaijan		
JX041631	1980-XX-XX	Ukraine		
JX041630	1967-XX-XX	Azerbaijan		
KY594040	2010-XX-XX	Greece		
MK352483	2018-XX-XX	USA		
MN652879	2018-7-XX	Greece		31756306
MN652880	2018-8-XX	Greece		31756306
MN652878	2018-7-XX	Greece		31756306
KY523178	2009-6-XX	Uganda		
MN849176	2019-9-XX	USA		
JN858069	2011-9-XX	Italy		
KX547235	2015-8-13	USA		
